"filename", "language", "PHP", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"z:\Projects\mstender\frontend\src\pages\leads\LeadList.jsx", "JavaScript JSX", 0, 0, -143, 61, 3, -79
"z:\Projects\mstender\frontend\src\pages\leads\PipelineCreate.jsx", "JavaScript JSX", 0, 0, 18, 2, 14, 34
"z:\Projects\mstender\frontend\src\pages\leads\PipelineList.jsx", "JavaScript JSX", 0, 0, 466, 49, 154, 669
"z:\Projects\mstender\frontend\src\pages\leads\PipelineUpdate.jsx", "JavaScript JSX", 0, 0, 192, 28, 70, 290
"z:\Projects\mstender\frontend\src\pages\leads\StageCard.jsx", "JavaScript JSX", 0, 0, 6, 0, 1, 7
"z:\Projects\mstender\frontend\src\pages\leads\ViewMode.jsx", "JavaScript JSX", 0, 0, 27, 0, 3, 30
"z:\Projects\mstender\frontend\src\pages\leads\tempPipeline.jsx", "JavaScript JSX", 0, 0, 352, 16, 82, 450
"z:\Projects\mstender\frontend\src\pages\taxes\CreateTax.jsx", "JavaScript JSX", 0, 0, 29, 9, 29, 67
"z:\Projects\mstender\frontend\src\pages\taxes\TaxesList.jsx", "JavaScript JSX", 0, 0, 97, 23, 123, 243
"z:\Projects\mstender\frontend\src\pages\taxes\UpdateTax.jsx", "JavaScript JSX", 0, 0, 55, 20, 55, 130
"z:\Projects\mstender\frontend\src\pages\transactions\CreateTransaction.jsx", "JavaScript JSX", 0, 0, 66, 12, 37, 115
"z:\Projects\mstender\frontend\src\pages\transactions\TransactionsList.jsx", "JavaScript JSX", 0, 0, 118, 25, 99, 242
"z:\Projects\mstender\frontend\src\pages\transactions\UpdateTransaction.jsx", "JavaScript JSX", 0, 0, 2, 0, 8, 10
"Total", "-", 223, -101, 2882, 763, 2011, 5778
