"filename", "language", "Markdown", "JavaScript", "PHP", "CSS", "JSON", "XML", "YAML", "JavaScript JSX", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\backend\app\Models\Transaction.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"z:\Projects\mstender\backend\app\Models\User.php", "PHP", 0, 0, 85, 0, 0, 0, 0, 0, 0, 2, 17, 104
"z:\Projects\mstender\backend\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 8, 5, 25
"z:\Projects\mstender\backend\bootstrap\app.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"z:\Projects\mstender\backend\bootstrap\providers.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"z:\Projects\mstender\backend\composer.json", "JSON", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 90
"z:\Projects\mstender\backend\composer.lock", "JSON", 0, 0, 0, 0, 9583, 0, 0, 0, 0, 0, 1, 9584
"z:\Projects\mstender\backend\config\app.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 82, 23, 127
"z:\Projects\mstender\backend\config\auth.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 74, 15, 118
"z:\Projects\mstender\backend\config\cache.php", "PHP", 0, 0, 64, 0, 0, 0, 0, 0, 0, 35, 19, 118
"z:\Projects\mstender\backend\config\cors.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 12, 37
"z:\Projects\mstender\backend\config\database.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 0, 0, 43, 23, 185
"z:\Projects\mstender\backend\config\filesystems.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 0, 0, 32, 13, 81
"z:\Projects\mstender\backend\config\logging.php", "PHP", 0, 0, 79, 0, 0, 0, 0, 0, 0, 33, 21, 133
"z:\Projects\mstender\backend\config\mail.php", "PHP", 0, 0, 57, 0, 0, 0, 0, 0, 0, 43, 19, 119
"z:\Projects\mstender\backend\config\queue.php", "PHP", 0, 0, 65, 0, 0, 0, 0, 0, 0, 45, 20, 130
"z:\Projects\mstender\backend\config\sanctum.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 54, 14, 88
"z:\Projects\mstender\backend\config\services.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 11, 8, 39
"z:\Projects\mstender\backend\config\session.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 160, 35, 218
"z:\Projects\mstender\backend\database\factories\BankFactory copy 2.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"z:\Projects\mstender\backend\database\factories\BankFactory copy.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"z:\Projects\mstender\backend\database\factories\BankFactory.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"z:\Projects\mstender\backend\database\factories\CustomerFactory.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 7, 36
"z:\Projects\mstender\backend\database\factories\InvoiceFactory.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 5, 33
"z:\Projects\mstender\backend\database\factories\InvoiceItemFactory copy.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 9, 4, 24
"z:\Projects\mstender\backend\database\factories\InvoiceItemFactory.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 9, 4, 24
"z:\Projects\mstender\backend\database\factories\LeadActivityFactory.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 8, 4, 28
"z:\Projects\mstender\backend\database\factories\LeadFactory.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"z:\Projects\mstender\backend\database\factories\LeadNoteCommentFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 9, 4, 25
"z:\Projects\mstender\backend\database\factories\LeadNoteFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 9, 4, 25
"z:\Projects\mstender\backend\database\factories\PipelineFactory.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 4, 27
"z:\Projects\mstender\backend\database\factories\PipelineStageFactory.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 8, 4, 28
