"filename", "language", "PHP", "Markdown", "JavaScript", "JSON", "CSS", "JavaScript JSX", "XML", "YAML", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\backend\app\Http\Controllers\InvoiceItemController.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"z:\Projects\mstender\backend\app\Http\Controllers\LeadActivityController.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8, 50
"z:\Projects\mstender\backend\app\Http\Controllers\LeadController.php", "PHP", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 174
"z:\Projects\mstender\backend\app\Http\Controllers\LeadCustomValueController.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8, 50
"z:\Projects\mstender\backend\app\Http\Controllers\NotificationController.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 60
"z:\Projects\mstender\backend\app\Http\Controllers\PipelineController.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 56
"z:\Projects\mstender\backend\app\Http\Controllers\PipelineStageController.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72
"z:\Projects\mstender\backend\app\Http\Controllers\TaxController.php", "PHP", 208, 0, 0, 0, 0, 0, 0, 0, 0, 31, 61, 300
"z:\Projects\mstender\backend\app\Http\Controllers\TransactionController.php", "PHP", 518, 0, 0, 0, 0, 0, 0, 0, 0, 54, 194, 766
"z:\Projects\mstender\backend\app\Http\Middlewares\CheckIfUserIsBanned.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 35
"z:\Projects\mstender\backend\app\Models\Bank.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"z:\Projects\mstender\backend\app\Models\Customer.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 23, 18, 107
"z:\Projects\mstender\backend\app\Models\Invoice.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"z:\Projects\mstender\backend\app\Models\InvoiceItem.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"z:\Projects\mstender\backend\app\Models\InvoiceTax.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"z:\Projects\mstender\backend\app\Models\Lead.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"z:\Projects\mstender\backend\app\Models\LeadActivity.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"z:\Projects\mstender\backend\app\Models\LeadNote.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"z:\Projects\mstender\backend\app\Models\LeadNoteComment.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"z:\Projects\mstender\backend\app\Models\Notification.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"z:\Projects\mstender\backend\app\Models\Pipeline.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"z:\Projects\mstender\backend\app\Models\PipelineStage.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"z:\Projects\mstender\backend\app\Models\Setting.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"z:\Projects\mstender\backend\app\Models\Tax.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"z:\Projects\mstender\backend\app\Models\Transaction.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"z:\Projects\mstender\backend\app\Models\User.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 89
"z:\Projects\mstender\backend\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 25
"z:\Projects\mstender\backend\bootstrap\app.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"z:\Projects\mstender\backend\bootstrap\providers.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"z:\Projects\mstender\backend\composer.json", "JSON", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 90
"z:\Projects\mstender\backend\composer.lock", "JSON", 0, 0, 0, 9583, 0, 0, 0, 0, 0, 0, 1, 9584
"z:\Projects\mstender\backend\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 82, 23, 127
"z:\Projects\mstender\backend\config\auth.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 74, 15, 118
"z:\Projects\mstender\backend\config\cache.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 35, 19, 118
"z:\Projects\mstender\backend\config\cors.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 37
"z:\Projects\mstender\backend\config\database.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 0, 0, 43, 23, 185
"z:\Projects\mstender\backend\config\filesystems.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 81
"z:\Projects\mstender\backend\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 33, 21, 133
"z:\Projects\mstender\backend\config\mail.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 43, 19, 119
"z:\Projects\mstender\backend\config\queue.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 45, 20, 130
"z:\Projects\mstender\backend\config\sanctum.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 54, 14, 88
"z:\Projects\mstender\backend\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 39
"z:\Projects\mstender\backend\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 160, 35, 218
"z:\Projects\mstender\backend\database\factories\BankFactory copy 2.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"z:\Projects\mstender\backend\database\factories\BankFactory copy.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"z:\Projects\mstender\backend\database\factories\BankFactory.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"z:\Projects\mstender\backend\database\factories\CustomerFactory.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 36
"z:\Projects\mstender\backend\database\factories\InvoiceFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 33
"z:\Projects\mstender\backend\database\factories\InvoiceItemFactory copy.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"z:\Projects\mstender\backend\database\factories\InvoiceItemFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"z:\Projects\mstender\backend\database\factories\LeadActivityFactory.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 28
"z:\Projects\mstender\backend\database\factories\LeadFactory.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"z:\Projects\mstender\backend\database\factories\LeadNoteCommentFactory.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 25
"z:\Projects\mstender\backend\database\factories\LeadNoteFactory.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 25
"z:\Projects\mstender\backend\database\factories\PipelineFactory.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 27
